County,State,2010 Census,Base,2019-Pop
Irwin,Georgia,9538,9513,9416
Jackson,Georgia,60485,60461,72977
Jasper,Georgia,13900,13894,14219
Jeff Davis,Georgia,15068,15074,15115
Jefferson,Georgia,16930,16916,15362
Jenkins,Georgia,8340,8333,8676
Johnson,Georgia,9980,9974,9643
Jones,Georgia,28669,28668,28735
Lamar,Georgia,18317,18311,19077
Lanier,Georgia,10078,10077,10423
Laurens,Georgia,48434,48435,47546
Lee,Georgia,28298,28295,29992
Liberty,Georgia,63453,63585,61435
Lincoln,Georgia,7996,7996,7921
Long,Georgia,14464,14344,19559
Lowndes,Georgia,109233,109248,117406
Lumpkin,Georgia,29966,29953,33610
McDuffie,Georgia,21875,21867,21312
McIntosh,Georgia,14333,14330,14378
Macon,Georgia,14740,14743,12947
Madison,Georgia,28120,28167,29880
Marion,Georgia,8742,8738,8359
Meriwether,Georgia,21992,21978,21167
Miller,Georgia,6125,6127,5718
Mitchell,Georgia,23498,23501,21863
Monroe,Georgia,26424,26167,27578
Montgomery,Georgia,9123,9181,9172
Morgan,Georgia,17868,17871,19276
Murray,Georgia,39628,39628,40096
Muscogee,Georgia,189885,190570,195769
Newton,Georgia,99958,99967,111744
Oconee,Georgia,32808,32831,40280
Oglethorpe,Georgia,14899,14881,15259
Paulding,Georgia,142324,142397,168667
Peach,Georgia,27695,27807,27546
Pickens,Georgia,29431,29404,32591
Pierce,Georgia,18758,18760,19465
Pike,Georgia,17869,17873,18962
Polk,Georgia,41475,41495,42613
Pulaski,Georgia,12010,11999,11137
Putnam,Georgia,21218,21218,22119
Quitman,Georgia,2513,2510,2299
Rabun,Georgia,16276,16273,17137
Randolph,Georgia,7719,7721,6778
Richmond,Georgia,200549,200594,202518
Rockdale,Georgia,85215,85169,90896
Schley,Georgia,5010,5013,5257
Screven,Georgia,14593,14594,13966
Seminole,Georgia,8729,8729,8090
Spalding,Georgia,64073,64109,66703
Stephens,Georgia,26175,26153,25925
Stewart,Georgia,6058,6060,6621
Sumter,Georgia,32819,32815,29524
Talbot,Georgia,6865,6890,6195
Taliaferro,Georgia,1717,1717,1537
Tattnall,Georgia,25520,25510,25286
Taylor,Georgia,8906,8909,8020
Telfair,Georgia,16500,16490,15860
Terrell,Georgia,9315,9507,8531
Thomas,Georgia,44720,44723,44451
Tift,Georgia,40118,40136,40644
Toombs,Georgia,27223,27170,26830
Towns,Georgia,10471,10477,12037
Treutlen,Georgia,6885,6883,6901
Troup,Georgia,67044,67040,69922
Turner,Georgia,8930,8933,7985
Twiggs,Georgia,9023,9026,8120
Union,Georgia,21356,21358,24511
Upson,Georgia,27153,27149,26320
Walker,Georgia,68756,68738,69761
Walton,Georgia,83768,83806,94593
Ware,Georgia,36312,36298,35734
Warren,Georgia,5834,5834,5254
Washington,Georgia,21187,21182,20374
Wayne,Georgia,30099,30097,29927
Webster,Georgia,2799,2799,2607
Wheeler,Georgia,7421,7431,7855
White,Georgia,27144,27139,30798
