County,State,2010 Census,Base,2019-Pop
Northumberland,Virginia,12330,12331,12095
Nottoway,Virginia,15853,15853,15232
Orange,Virginia,33481,33554,37051
Page,Virginia,24042,24051,23902
Patrick,Virginia,18490,18500,17608
Pittsylvania,Virginia,63506,63469,60354
Powhatan,Virginia,28046,28069,29652
Prince Edward,Virginia,23368,23363,22802
Prince George,Virginia,35725,35715,38353
Prince William,Virginia,402002,402009,470335
Pulaski,Virginia,34872,34857,34027
Rappahannock,Virginia,7373,7506,7370
Richmond,Virginia,9254,9254,9023
Roanoke,Virginia,92376,92465,94186
Rockbridge,Virginia,22307,22355,22573
Rockingham,Virginia,76314,76321,81948
Russell,Virginia,28897,28923,26586
Scott,Virginia,23177,23168,21566
Shenandoah,Virginia,41993,41996,43616
Smyth,Virginia,32208,32213,30104
Southampton,Virginia,18570,18573,17631
Spotsylvania,Virginia,122397,122453,136215
Stafford,Virginia,128961,128984,152882
Surry,Virginia,7058,7064,6422
Sussex,Virginia,12087,12070,11159
Tazewell,Virginia,45078,45058,40595
Warren,Virginia,37575,37450,40164
Washington,Virginia,54876,54961,53740
Westmoreland,Virginia,17454,17460,18015
Wise,Virginia,41452,41437,37383
Wythe,Virginia,29235,29246,28684
York,Virginia,65464,65191,68280
Alexandria city,Virginia,139966,139998,159428
Bristol city,Virginia,17835,17738,16762
Buena Vista city,Virginia,6650,6607,6478
Charlottesville city,Virginia,43475,43425,47266
Chesapeake city,Virginia,222209,222311,244835
Colonial Heights city,Virginia,17411,17410,17370
Covington city,Virginia,5961,5951,5538
Danville city,Virginia,43055,43071,40044
Emporia city,Virginia,5927,5925,5346
Fairfax city,Virginia,22565,22554,24019
Falls Church city,Virginia,12332,12244,14617
Franklin city,Virginia,8582,8578,7967
Fredericksburg city,Virginia,24286,24178,29036
Galax city,Virginia,7042,6989,6347
Hampton city,Virginia,137436,137464,134510
Harrisonburg city,Virginia,48914,48900,53016
Hopewell city,Virginia,22591,22591,22529
Lexington city,Virginia,7042,7037,7446
Lynchburg city,Virginia,75568,75534,82168
Manassas city,Virginia,37821,37799,41085
Manassas Park city,Virginia,14273,14243,17478
Martinsville city,Virginia,13821,13814,12554
Newport News city,Virginia,180719,180955,179225
Norfolk city,Virginia,242803,242827,242742
Norton city,Virginia,3958,3993,3981
Petersburg city,Virginia,32420,32441,31346
Poquoson city,Virginia,12150,12159,12271
Portsmouth city,Virginia,95535,95526,94398
Radford city,Virginia,16408,16395,18249
Richmond city,Virginia,204214,204375,230436
Roanoke city,Virginia,97032,96910,99143
Salem city,Virginia,24802,24836,25301
Staunton city,Virginia,23746,23745,24932
Suffolk city,Virginia,84585,84565,92108
Virginia Beach city,Virginia,437994,437903,449974
Waynesboro city,Virginia,21006,20998,22630
Williamsburg city,Virginia,14068,13700,14954
Winchester city,Virginia,26203,26223,28078
Adams,Washington,18728,18731,19983
Asotin,Washington,21623,21623,22582
Benton,Washington,175177,175168,204390
Chelan,Washington,72453,72460,77200
Clallam,Washington,71404,71396,77331
Clark,Washington,425363,425360,488241
Columbia,Washington,4078,4078,3985
Cowlitz,Washington,102410,102408,110593
Douglas,Washington,38431,38427,43429
Ferry,Washington,7551,7554,7627
Franklin,Washington,78163,78160,95222
Garfield,Washington,2266,2266,2225
Grant,Washington,89120,89124,97733
Grays Harbor,Washington,72797,72800,75061
Island,Washington,78506,78508,85141
Jefferson,Washington,29872,29880,32221
King,Washington,1931249,1931287,2252782
Kitsap,Washington,251133,251143,271473
Kittitas,Washington,40915,40910,47935
Klickitat,Washington,20318,20317,22425
Lewis,Washington,75455,75457,80707
Lincoln,Washington,10570,10570,10939
Mason,Washington,60699,60689,66768
Okanogan,Washington,41120,41117,42243
Pacific,Washington,20920,20919,22471
Pend Oreille,Washington,13001,13001,13724
Pierce,Washington,795225,795222,904980
San Juan,Washington,15769,15768,17582
Skagit,Washington,116901,116892,129205
Skamania,Washington,11066,11070,12083
Snohomish,Washington,713335,713299,822083
Spokane,Washington,471221,471220,522798
Stevens,Washington,43531,43532,45723
Thurston,Washington,252264,252260,290536
Wahkiakum,Washington,3978,3979,4488
Walla Walla,Washington,58781,58781,60760
Whatcom,Washington,201140,201146,229247
Whitman,Washington,44776,44778,50104
Yakima,Washington,243231,243240,250873
Barbour,West Virginia,16589,16587,16441
Berkeley,West Virginia,104169,104188,119171
Boone,West Virginia,24629,24625,21457
Braxton,West Virginia,14523,14519,13957
Brooke,West Virginia,24069,24051,21939
Cabell,West Virginia,96319,96295,91945
Calhoun,West Virginia,7627,7627,7109
Clay,West Virginia,9386,9384,8508
Doddridge,West Virginia,8202,8201,8448
Fayette,West Virginia,46039,46049,42406
Gilmer,West Virginia,8693,8695,7823
Grant,West Virginia,11937,11920,11568
Greenbrier,West Virginia,35480,35483,34662
Hampshire,West Virginia,23964,23960,23175
Hancock,West Virginia,30676,30688,28810
Hardy,West Virginia,14025,14027,13776
Harrison,West Virginia,69099,69094,67256
Jackson,West Virginia,29211,29214,28576
Jefferson,West Virginia,53498,53490,57146
Kanawha,West Virginia,193063,193053,178124
Lewis,West Virginia,16372,16372,15907
Lincoln,West Virginia,21720,21709,20409
Logan,West Virginia,36743,36754,32019
McDowell,West Virginia,22113,22109,17624
Marion,West Virginia,56418,56433,56072
Marshall,West Virginia,33107,33131,30531
Mason,West Virginia,27324,27348,26516
Mercer,West Virginia,62264,62265,58758
Mineral,West Virginia,28212,28225,26868
Mingo,West Virginia,26839,26834,23424
Monongalia,West Virginia,96189,96184,105612
Monroe,West Virginia,13502,13498,13275
Morgan,West Virginia,17541,17541,17884
Nicholas,West Virginia,26233,26233,24496
Ohio,West Virginia,44443,44426,41411
Pendleton,West Virginia,7695,7695,6969
Pleasants,West Virginia,7605,7602,7460
Pocahontas,West Virginia,8719,8722,8247
Preston,West Virginia,33520,33518,33432
Putnam,West Virginia,55486,55489,56450
Raleigh,West Virginia,78859,78865,73361
Randolph,West Virginia,29405,29405,28695
Ritchie,West Virginia,10449,10449,9554
Roane,West Virginia,14926,14927,13688
Summers,West Virginia,13927,13926,12573
Taylor,West Virginia,16895,16891,16695
Tucker,West Virginia,7141,7141,6839
Tyler,West Virginia,9208,9230,8591
Upshur,West Virginia,24254,24256,24176
Wayne,West Virginia,42481,42506,39402
Webster,West Virginia,9154,9150,8114
Wetzel,West Virginia,16583,16563,15065
Wirt,West Virginia,5717,5714,5821
Wood,West Virginia,86956,86953,83518
Wyoming,West Virginia,23796,23804,20394
Adams,Wisconsin,20875,20867,20220
Ashland,Wisconsin,16157,16157,15562
Barron,Wisconsin,45870,45873,45244
Bayfield,Wisconsin,15014,15008,15036
Brown,Wisconsin,248007,248003,264542
Buffalo,Wisconsin,13587,13588,13031
Burnett,Wisconsin,15457,15458,15414
Calumet,Wisconsin,48971,48981,50089
Chippewa,Wisconsin,62415,62502,64658
Clark,Wisconsin,34690,34691,34774
Columbia,Wisconsin,56833,56859,57532
Crawford,Wisconsin,16644,16644,16131
Dane,Wisconsin,488073,488081,546695
Dodge,Wisconsin,88759,88750,87839
Door,Wisconsin,27785,27785,27668
Douglas,Wisconsin,44159,44159,43150
Dunn,Wisconsin,43857,43865,45368
Eau Claire,Wisconsin,98736,98881,104646
Florence,Wisconsin,4423,4423,4295
Fond du Lac,Wisconsin,101633,101623,103403
Forest,Wisconsin,9304,9304,9004
Grant,Wisconsin,51208,51204,51439
Green,Wisconsin,36842,36839,36960
Green Lake,Wisconsin,19051,19044,18913
Iowa,Wisconsin,23687,23687,23678
Iron,Wisconsin,5916,5916,5687
Jackson,Wisconsin,20449,20441,20643
Jefferson,Wisconsin,83686,83688,84769
Juneau,Wisconsin,26664,26665,26687
Kenosha,Wisconsin,166426,166424,169561
Kewaunee,Wisconsin,20574,20578,20434
La Crosse,Wisconsin,114638,114638,118016
Lafayette,Wisconsin,16836,16833,16665
Langlade,Wisconsin,19977,19977,19189
Lincoln,Wisconsin,28743,28743,27593
Manitowoc,Wisconsin,81442,81444,78981
Marathon,Wisconsin,134063,134061,135692
Marinette,Wisconsin,41749,41749,40350
Marquette,Wisconsin,15404,15399,15574
Menominee,Wisconsin,4232,4232,4556
Milwaukee,Wisconsin,947735,947728,945726
Monroe,Wisconsin,44673,44677,46253
Oconto,Wisconsin,37660,37660,37930
Oneida,Wisconsin,35998,36012,35595
Outagamie,Wisconsin,176695,176686,187885
Ozaukee,Wisconsin,86395,86395,89221
Pepin,Wisconsin,7469,7469,7287
Pierce,Wisconsin,41019,41029,42754
Polk,Wisconsin,44205,44198,43783
Portage,Wisconsin,70019,70021,70772
Price,Wisconsin,14159,14159,13351
Racine,Wisconsin,195408,195428,196311
Richland,Wisconsin,18021,18028,17252
Rock,Wisconsin,160331,160325,163354
Rusk,Wisconsin,14755,14754,14178
St Croix,Wisconsin,84345,84337,90687
Sauk,Wisconsin,61976,61955,64442
Sawyer,Wisconsin,16557,16538,16558
Shawano,Wisconsin,41949,41955,40899
Sheboygan,Wisconsin,115507,115512,115340
Taylor,Wisconsin,20689,20690,20343
Trempealeau,Wisconsin,28816,28815,29649
Vernon,Wisconsin,29773,29769,30822
Vilas,Wisconsin,21430,21444,22195
Walworth,Wisconsin,102228,102230,103868
Washburn,Wisconsin,15911,15907,15720
Washington,Wisconsin,131887,131885,136034
Waukesha,Wisconsin,389891,389946,404198
Waupaca,Wisconsin,52410,52410,50990
Waushara,Wisconsin,24496,24509,24443
Winnebago,Wisconsin,166994,167000,171907
Wood,Wisconsin,74749,74750,72999
Albany,Wyoming,36299,36299,38880
Big Horn,Wyoming,11668,11669,11790
Campbell,Wyoming,46133,46133,46341
Carbon,Wyoming,15885,15884,14800
Converse,Wyoming,13833,13833,13822
Crook,Wyoming,7083,7080,7584
Fremont,Wyoming,40123,40123,39261
Goshen,Wyoming,13249,13247,13211
Hot Springs,Wyoming,4812,4812,4413
Johnson,Wyoming,8569,8569,8445
Laramie,Wyoming,91738,91885,99500
Lincoln,Wyoming,18106,18106,19830
Natrona,Wyoming,75450,75448,79858
Niobrara,Wyoming,2484,2484,2356
Park,Wyoming,28205,28207,29194
Platte,Wyoming,8667,8667,8393
Sheridan,Wyoming,29116,29124,30485
Sublette,Wyoming,10247,10244,9831
Sweetwater,Wyoming,43806,43806,42343
Teton,Wyoming,21294,21298,23464
Uinta,Wyoming,21118,21121,20226
Washakie,Wyoming,8533,8528,7805
Weston,Wyoming,7208,7208,6927
