County,,2010 Census,Base,2019-Pop,,,,,,,,,
Taylor, Florida,"22,570","22,574","21,569",,,,,,,,,
Union, Florida,"15,535","15,535","15,237",,,,,,,,,
Volusia, Florida,"494,593","494,596","553,284",,,,,,,,,
Wakulla, Florida,"30,776","30,783","33,739",,,,,,,,,
Walton, Florida,"55,043","55,046","74,071",,,,,,,,,
Washington, Florida,"24,896","24,896","25,473",,,,,,,,,
Appling, Georgia,"18,236","18,238","18,386",,,,,,,,,
Atkinson, Georgia,"8,375","8,380","8,165",,,,,,,,,
Bacon, Georgia,"11,096","11,097","11,164",,,,,,,,,
Baker, Georgia,"3,451","3,447","3,038",,,,,,,,,
Baldwin, Georgia,"45,720","45,840","44,890",,,,,,,,,
Banks, Georgia,"18,395","18,379","19,234",,,,,,,,,
Barrow, Georgia,"69,367","69,356","83,240",,,,,,,,,
Bartow, Georgia,"100,157","100,092","107,738",,,,,,,,,
Ben Hill, Georgia,"17,634","17,660","16,700",,,,,,,,,
Berrien, Georgia,"19,286","19,293","19,397",,,,,,,,,
Bibb, Georgia,"155,547","155,783","153,159",,,,,,,,,
Bleckley, Georgia,"13,063","13,064","12,873",,,,,,,,,
Brantley, Georgia,"18,411","18,428","19,109",,,,,,,,,
Brooks, Georgia,"16,243","16,314","15,457",,,,,,,,,
Bryan, Georgia,"30,233","30,215","39,627",,,,,,,,,
Bulloch, Georgia,"70,217","70,243","79,608",,,,,,,,,
Burke, Georgia,"23,316","23,326","22,383",,,,,,,,,
Butts, Georgia,"23,655","23,695","24,936",,,,,,,,,
Calhoun, Georgia,"6,694","6,697","6,189",,,,,,,,,
Camden, Georgia,"50,513","50,512","54,666",,,,,,,,,
Candler, Georgia,"10,998","10,999","10,803",,,,,,,,,
Carroll, Georgia,"110,527","110,570","119,992",,,,,,,,,
Catoosa, Georgia,"63,942","63,925","67,580",,,,,,,,,
Charlton, Georgia,"12,171","12,171","13,392",,,,,,,,,
Chatham, Georgia,"265,128","265,127","289,430",,,,,,,,,
Chattahoochee, Georgia,"11,267","11,263","10,907",,,,,,,,,
Chattooga, Georgia,"26,015","26,022","24,789",,,,,,,,,
Cherokee, Georgia,"214,346","214,381","258,773",,,,,,,,,
Clarke, Georgia,"116,714","116,688","128,331",,,,,,,,,
Clay, Georgia,"3,183","3,186","2,834",,,,,,,,,
Clayton, Georgia,"259,424","259,630","292,256",,,,,,,,,
Clinch, Georgia,"6,798","6,792","6,618",,,,,,,,,
Cobb, Georgia,"688,078","688,065","760,141",,,,,,,,,
Coffee, Georgia,"42,356","42,347","43,273",,,,,,,,,
Colquitt, Georgia,"45,498","45,496","45,600",,,,,,,,,
Columbia, Georgia,"124,053","124,016","156,714",,,,,,,,,
Cook, Georgia,"17,212","17,207","17,270",,,,,,,,,
Coweta, Georgia,"127,317","127,369","148,509",,,,,,,,,
Crawford, Georgia,"12,630","12,601","12,404",,,,,,,,,
Crisp, Georgia,"23,439","23,433","22,372",,,,,,,,,
Dade, Georgia,"16,633","16,643","16,116",,,,,,,,,
Dawson, Georgia,"22,330","22,382","26,108",,,,,,,,,
Decatur, Georgia,"27,842","27,842","26,404",,,,,,,,,
